crust,地殻
outer core,外核
inner core,内核
continental crust,大陸地殻
oceanic crust,海洋地殻
boundary,プレート境界
plate margin,プレート境界
destructive margin,狭まる境界
constructive margin,広がる境界
conservative margin,ずれる境界
ocean trench,海溝
hemisphere,半球
equator,赤道
Pleistocene,更新世の
glacial period,氷河期
Tropic of Cancer,北回帰線
Tropic of Capricorn,南回帰線
stratosphere,成層圏
the earth’s axis,地軸
inter-tropical convergence zone,赤道収束帯
subtropical zone of high pressure,亜熱帯高圧帯
Coriolis force,コリオリの力
orthodrome,大圏航路
equinox,春分・秋分
eustatic,海水面変動の
asthenosphere,アセノスフェア
lithosphere,リソスフェア
convergent boundary,狭まる境界
divergent boundary,広がる境界
subduct,(プレートが) 沈み込む
slab,スラブ
Juan de Fuca plate,ファンデフカプレート
Cocos plate,ココスプレート
Antarctic plate,南極プレート
Indian plate,インドプレート
Australian plate,オーストラリアプレート
South American plate,南アメリカプレート
Eurasian plate,ユーラシアプレート
Nazca plate,ナスカプレート
Caribbean plate,カリブプレート
North American Plate,北アメリカプレート
Pacific plate,太平洋プレート
Philippines plate,フィリピン海プレート
aurora,オーロラ
meteor shower,流星群
subduction,(プレートの) 沈み込み
aerial,大気の
meridian,子午線
longitude,経度
latitude,緯度
Earth’s rotation,自転
troposphere,対流圏
mesosphere,中間圏
thermosphere,熱圏
inertia,慣性
great circle,大圏航路
topography,地形
isostatic change,アイソスタシーの変化
infrared ray,赤外線
ultraviolet ray,紫外線
mid-ocean ridge,中央海嶺
Wadachi-Benioff Zone,和達―ベニオフ帯
Antarctica,南極大陸
Hadrey cell,ハドレー循環
Ferrel cell,フェレル循環
Polar cell,極循環
ellipse,楕円
