vegetation,植生
thaw,(氷・雪などが) 融ける
habitat,生息地・居住地
deplete,使いつくす
precipitation,降水量
fluctuate,上下する
inland,内陸の
condense,凝結する
North Atlantic Drift,北大西洋海流
altitude,高度
current,海流
warm current,暖流
cold current,寒流
depression,低気圧
anticyclone,高気圧
warm front,温暖前線
cold front,寒冷前線
deforestation,森林破壊
descending air,下降気流
eyewall,台風の目の壁雲
monsoon,モンスーン
aquatic,水生の
evaporate,蒸発する
ecosystem,生態系
hedgerow,生垣を成す低木の列
producer,生産者
consumer,消費者
decomposer,分解者
food chain,食物連鎖
food web,食物連鎖
fungus,菌
nutrient cycle,栄養の循環
temperate,温暖な
deciduous,落葉性の
shrub,低木
evergreen,常緑樹
transpiration,蒸散
photosynthesis,光合成
biodiversity,生物の多様性
hardwood,硬木
endangered,絶滅寸前の
rubber,ゴム
prevailing wind,卓越風
nourishment,栄養
eutrophic,富栄養の
condensation,凝結
relief rainfall,地形性降雨
frontal rainfall,前線性降雨
convectional rainfall,対流性降雨
isotherm,等温線
cirrus,巻雲
stratus,層雲
nimbo-stratus,乱層雲
alto-stratus,高層雲
cirro-stratus,巻層雲
cumulus,積雲
cumulo-nimbus,積乱雲
isobar,等圧線
drizzle,霧雨
swirl,渦
flora,植物相
fauna,動物相
biome,バイオーム (生物群系)
herbivore,草食動物
carnivore,肉食動物
woodland,森林地帯
microclimate,小気候
luxuriant,繁茂した
buttress root,板根
trunk,幹
nomad,遊牧
conifer,針葉樹
podsol,ポドゾル
humus,腐食
downpour,どしゃ降り
f ̈ohn,フェーン現象
badland,(過耕作による) 荒れ野
El Nino,エルニーニョ
albedo,反射能
westerly,偏西風
incoming radiation from the sun,日射
insolation,日射
pore,気孔
urban heat island effect(UHIE),ヒートアイランド現象
horse latitudes,亜熱帯高圧帯
doldrums,赤道付近の無風帯
specific heat,比熱
hailstone,霰・雹
undergrowth,下生え
boreal forest,タイガ
peat,泥炭
epiphytes,着生植物
selective logging,選択伐採
hibernate,冬眠する
energy flow,食物連鎖におけるエネルギーの流れ
synoptic chart,天気図
stationary front,停滞前線
occluded front,閉塞前線
heatwave,熱波
equatorial,赤道直下の
continental tropical air mass(CTAM),熱帯大陸気団
continental polar air mass(CPAM),寒帯大陸気団
North easterly trades,北東貿易風
South easterly trades,南東貿易風
subpolar low pressure zone,亜寒帯低圧帯
polar high pressure zone,極高圧帯
liana,つる植物
emergent,突出木
hedge,生垣
dew point,露点
foehn,フェーン現象
rain shadow,雨影
diurnal range,日較差
annual range,年較差
radiation cooling,放射冷却
tropical storm,熱帯低気圧
fertility,肥沃
pellet,沈殿物
aerolian,風成の
remoteness,隔海度
weed,藻・雑草
orographic precipitation,地形性降雨
oscillation,変動
algae,藻
aquaculture,養殖
lichen,地衣類
steppe,ステップ
isohyet,等降水量線
scrub,低木
El Ni?o Southern Oscillation,エルニーニョ・南方振動
respiration,呼吸
sublimation,昇華
chlorophyll,葉緑素
plankton,プランクトン
mangrove,マングローブ
wind shear,乱気流
icy,凍った
pollen,花粉
greenary,緑樹
moss,コケ
canopy,林冠
sparsely,まばらに
distinct dry,きわめて乾燥した
savannah grassland,サバンナ草原
fern,シダ
symbiotic relationship,共生関係
bark,木皮
stem,茎・幹
germinate,芽生える
burrow,巣穴
tundra,ツンドラ
boggy,沼地の
daylight,日光
driftwood,漂木
corrode,腐食する
eye,台風の目
microorganism,微生物
brine soil zone,塩性土壌地帯
