petrol station,ガソリンスタンド
rank-size rule,ランクサイズルール
migration,移動
populate,住まわせる
desalination,淡水化
birth rate,出生率
death rate,死亡率
natural increase,自然増
natural decrease,自然減
demographic transition model,人口転換モデル
life expectancy,平均寿命
census,国勢調査
pension,年金
fertility rate,合計特殊出生率
transmigration,移住
international migration,国際的な移民
internal migration,国内の移民
source country,ソース国
receiving country,受入国
redevelopment,再開発
outskirts,郊外
segregation,隔離
overspill,郊外移住者
pedestrianize,歩行者専用にする
resident,居住者
property,所有地
high order goods,買い回り品
low order goods,最寄り品
comparison goods,買い回り品
convenience goods,最寄り品
threshold population,店の維持に必要な人口
sphere of influence,商圏
commuter town,ベッドタウン
manufacturing,製造業
monoculture,モノカルチャー
GNI per capita,一人当たりGNI
literacy rate,識字率
Human Development Index,人間開発指数
exploit,開発する
primary industry,第一次産業
secondary industry,第二次産業
tertiary industry,第三次産業
quaternary industry,第四次産業 (ハイテク産業)
gravel,砂利を敷く
legislation,立法
population density,人口密度
entrepreneur,起業家
procedure,手続き
reclaim,埋め立てる・開墾する
haphazard,無計画に
infant mortality rate,幼児死亡率
charitable activity,社会貢献活動
modernize,近代化する
(MEDCs)more economically developed countries,先進国
(LEDCs)less economically developed countries,後進国
positive relationship,正の相関
negative relationship,負の相関
urban sprawl,スプロール現象
underpopulation,過疎
overpopulation,過密
peripheral area,周辺部
fatality,死亡者数
canalize,運河にする
privatisation,民営化
concrete,コンクリートで舗装する
satellite town,衛星都市
de-centralisation,分散化
studentification,学生の流入
brownfield site,使われなくなった工業用地
honeypot,人気の観光地
inner city,都市周辺部
hamlet,集落
downtown,都心
gentrification,ジェントリフィケーション
concentric,同心円の
insulation,隔離
desalinated seawater,脱塩海水
garden city,田園都市
megacity,100 万人以上の都市
cleansing,浄化
municipal,地方自治体の
trekking,トレッキング
radially,放射状に
corridor,回廊
concentric zone model,同心円モデル
sector model,扇型モデル
multiple nuclei model,多核心モデル
tenement,安いアパート
evict,立ち退かせる
mobility,流動性
diversification,多様化
canyon effect,ビル風の渦流
refurbishment,改修
growth pole,成長の軸
cut corner,近道する
grant,助成金
tax break,優遇税制措置
obligatory,義務的な
repayment,返済金
fringe,周辺
endemic,土地固有の
replenish,新たに補給する
a third of the world,発展途上国
colonise,移住する
footpath,歩道
day tripper,日帰り観光客
High Income Country,高所得国
Low Income Country,低所得国
sewage system,下水システム
retail,小売り
tram,路面電車
conurbation,コナーベーション
commuter settlement,ベッドタウン
park-and-ride,パークアンドライド
clearway,駐禁道路
congestion charging,渋滞税
car sharing,カーシェアリング
carpool lane,カープール車線
flexible working hours,フレックスタイム制
motorway,高速道路
