sanitation,公衆衛生
unemployment,失業
carbon dioxide,二酸化炭素
methane,メタン
malnutrition,栄養失調
uninhabitable,人の住めない
greenhouse gas,温室効果ガス
excessive,過剰な
livelihood,生計
subsistence,最低限の生活
fund,資金
deficit,需要過多，不足，赤字
surplus,供給過多
carbon neutral,炭素中立
landfill,ごみ埋め立て地
squatter,無断居住者
shanty,小屋
slum,スラム
fume,煙
pollutant,汚染物質
counter-urbanisation,人口の郊外化
informal sector,インフォーマルセクター
radioactive,放射性のある
CFC,フロンガス
bustee,(インドの) スラム
dystrophy,栄養失調
disparity,格差
eutrophication,富栄養化
economical differential,経済格差
acidification,海洋酸性化
landowner,(大土地) 所有者
peasant,小作人
quarantine,検疫
decontaminate,除染する
asylum seeker,難民
voluntary migration,自発的な移民
forced migration,不自発的な移民
pneumonia,肺炎
ecological footprint,地球の環境容量
chimney,煙突
deindustrialization,産業の空洞化
urban blight,都心の荒廃
measles,麻疹
wastewater treatment,下水処理
soil degradation,土壌荒廃
overgrazing,過放牧
over-exploitation,乱開発
Freon,フロンガス
anthropogenic,人為起源の
inhospitable,荒れ果てた
secluded,隔絶された
CSR,企業の社会的責任
smallpox,天然痘
apartheid,アパルトヘイト
turbidity,濁り
salt-tolerant,耐塩性のある
depletion,枯渇
bleach,(サンゴが) 白化する 
desertification,砂漠化
degradation,地力低下
trample,踏みつける
encroach,侵犯する
blubber,脂肪
Antarctic Treaty,南極条約
channel straightening,流路の直線化
flood relief channel,遊水路
river restoration,蛇行復元・堰の除去など自然の河川を復元すること
rubbish,廃棄物
purchasing power parity,購買力平価説
cholera,コレラ
hut,粗末な小屋
uneven,不公平
derelict,遺棄された
vandalism,(公共物の) 破壊
burglary,不法侵入
joyriding,危険運転
inequality,不平等
irreversibly,不可逆的に 
aftermath,余波
hygiene,衛生
north-south divide,南北問題
desalination plant,淡水化施設
disposable,使い捨ての
water stress,水需要のひっ迫
over-cultivation,過耕作
light pollution,光害
vaccination,ワクチン
typhoid,腸チフス
sand dam,乾燥地で砂層の下に水を貯蓄するダム
direct emission,(CO2 の) 直接的排出 (燃焼など)
indirect emission,(CO2 の) 間接的排出 (製品の購入など)
hybrid car,ハイブリッド車
