avalanche,雪崩
rock slide,土石流
unstick,はがれる
jerk,急に動く
epicentre,震央
focus,震源
magnitude,マグニチュード
seismometer,地震計
landslide,地すべり
casualty,死傷者，惨事
tremor,振動・地震
rubble,瓦礫
acid rain,酸性雨
shelter,避難所
off-limits,立ち入り禁止の
debris,瓦礫
wildfire,野火
ignite,点火する
sand bag,土嚢
temporary accommodation,仮設住宅
breach,決壊させる
makeshift,仮設の
saturated,水浸しの
inundate,水浸しにする
unprecedented,前例のない
hypocentre,震源
liquefaction,液状化
engulf,(波・煙などが) 飲み込む
storm surge,高潮
shallow-focus earthquake,浅発地震 (0~70 km)
deep-focus earthquake,深発地震 (70~700 km)
return period,(洪水などの) 再発周期
shockwave,衝撃波
apocalypse,大災害
strong spring tide,高潮
seismic,地震の
coincide,同時に起こる
mudslide,土石流
hurricane,ハリケーン
tornado,トルネード
local earthquake,直下型地震
cyclone,サイクロン
periodically,定期的に
anchor,しっかり固定する
nail,釘付けにする
inundation,洪水
evacuate,避難する
stockpile,非常時の備蓄
slide,地すべり・雪崩
slump,急落
rockfall,落石
sea wall,防波堤
gabion,蛇篭
rock armour,護岸
sewage overflow,下水の噴出
hailstorm,雹嵐
spiral,悪循環
